"id","class_id","interface"
"255","552","com/sun/corba/se/spi/orbutil/threadpool/Work"
"256","554","com/sun/corba/se/pept/transport/ReaderThread"
"257","554","com/sun/corba/se/spi/orbutil/threadpool/Work"
"258","556","com/sun/corba/se/spi/transport/CorbaAcceptor"
"259","556","com/sun/corba/se/spi/transport/SocketOrChannelAcceptor"
"260","556","com/sun/corba/se/spi/orbutil/threadpool/Work"
"261","557","com/sun/corba/se/spi/transport/CorbaConnection"
"262","556","com/sun/corba/se/spi/transport/SocketInfo"
"263","557","com/sun/corba/se/spi/orbutil/threadpool/Work"
"264","556","com/sun/corba/se/spi/legacy/connection/LegacyServerSocketEndPointInfo"
"265","558","com/sun/corba/se/spi/transport/SocketInfo"
"266","590","java/util/Iterator"
"267","591","com/sun/corba/se/pept/transport/ConnectionCache"
"268","593","com/sun/corba/se/pept/transport/ConnectionCache"
"269","598","com/sun/corba/se/spi/activation/ActivatorOperations"
"270","598","org/omg/CORBA/Object"
"271","598","org/omg/CORBA/portable/IDLEntity"
"272","600","org/omg/CORBA/portable/Streamable"
"273","604","org/omg/CORBA/portable/Streamable"
"274","606","org/omg/CORBA/portable/IDLEntity"
"275","607","org/omg/CORBA/portable/Streamable"
"276","609","org/omg/CORBA/portable/Streamable"
"277","611","com/sun/corba/se/spi/activation/InitialNameServiceOperations"
"278","611","org/omg/CORBA/Object"
"279","613","org/omg/CORBA/portable/Streamable"
"280","611","org/omg/CORBA/portable/IDLEntity"
"281","616","org/omg/CORBA/portable/Streamable"
"282","621","com/sun/corba/se/spi/activation/LocatorOperations"
"283","620","org/omg/CORBA/portable/Streamable"
"284","621","org/omg/CORBA/Object"
"285","621","org/omg/CORBA/portable/IDLEntity"
"286","623","org/omg/CORBA/portable/Streamable"
"287","625","org/omg/CORBA/portable/IDLEntity"
"288","626","org/omg/CORBA/portable/Streamable"
"289","628","org/omg/CORBA/portable/IDLEntity"
"290","630","org/omg/CORBA/portable/Streamable"
"291","634","org/omg/CORBA/portable/Streamable"
"292","636","org/omg/CORBA/portable/Streamable"
"293","637","org/omg/CORBA/portable/IDLEntity"
"294","638","org/omg/CORBA/portable/Streamable"
"295","641","org/omg/CORBA/portable/Streamable"
"296","644","org/omg/CORBA/portable/Streamable"
"297","646","org/omg/CORBA/portable/Streamable"
"298","647","com/sun/corba/se/spi/activation/RepositoryOperations"
"299","647","org/omg/CORBA/Object"
"300","647","org/omg/CORBA/portable/IDLEntity"
"301","650","org/omg/CORBA/portable/Streamable"
"302","651","org/omg/CORBA/portable/IDLEntity"
"303","653","org/omg/CORBA/portable/Streamable"
"304","655","org/omg/CORBA/portable/Streamable"
"305","656","com/sun/corba/se/spi/activation/ServerOperations"
"306","656","org/omg/CORBA/Object"
"307","656","org/omg/CORBA/portable/IDLEntity"
"308","659","org/omg/CORBA/portable/Streamable"
"309","662","org/omg/CORBA/portable/Streamable"
"310","665","org/omg/CORBA/portable/Streamable"
"311","668","org/omg/CORBA/portable/Streamable"
"312","671","org/omg/CORBA/portable/Streamable"
"313","673","org/omg/CORBA/portable/Streamable"
"314","676","org/omg/CORBA/portable/Streamable"
"315","677","com/sun/corba/se/spi/activation/ServerManagerOperations"
"316","677","com/sun/corba/se/spi/activation/Activator"
"317","677","com/sun/corba/se/spi/activation/Locator"
"318","679","org/omg/CORBA/portable/Streamable"
"319","680","com/sun/corba/se/spi/activation/ActivatorOperations"
"320","680","com/sun/corba/se/spi/activation/LocatorOperations"
"321","683","org/omg/CORBA/portable/Streamable"
"322","686","org/omg/CORBA/portable/Streamable"
"323","689","com/sun/corba/se/spi/activation/Activator"
"324","689","org/omg/CORBA/portable/InvokeHandler"
"325","690","com/sun/corba/se/spi/activation/Activator"
"326","692","com/sun/corba/se/spi/activation/InitialNameService"
"327","691","com/sun/corba/se/spi/activation/InitialNameService"
"328","691","org/omg/CORBA/portable/InvokeHandler"
"329","693","com/sun/corba/se/spi/activation/Locator"
"330","693","org/omg/CORBA/portable/InvokeHandler"
"331","694","com/sun/corba/se/spi/activation/Locator"
"332","695","com/sun/corba/se/spi/activation/Repository"
"333","695","org/omg/CORBA/portable/InvokeHandler"
"334","696","com/sun/corba/se/spi/activation/Repository"
"335","697","com/sun/corba/se/spi/activation/Server"
"336","698","com/sun/corba/se/spi/activation/ServerManager"
"337","697","org/omg/CORBA/portable/InvokeHandler"
"338","698","org/omg/CORBA/portable/InvokeHandler"
"339","699","com/sun/corba/se/spi/activation/ServerManager"
"340","700","com/sun/corba/se/spi/activation/Server"
"341","706","com/sun/corba/se/pept/encoding/InputObject"
"342","707","com/sun/corba/se/pept/encoding/OutputObject"
"343","708","org/omg/CORBA/Policy"
"344","711","org/omg/CORBA/Policy"
"345","709","org/omg/CORBA/Policy"
"346","710","org/omg/CORBA/Policy"
"347","712","com/sun/corba/se/spi/ior/IdentifiableFactory"
"348","713","java/util/List"
"349","713","com/sun/corba/se/spi/ior/Writeable"
"350","713","com/sun/corba/se/spi/ior/MakeImmutable"
"351","715","com/sun/corba/se/spi/ior/Writeable"
"352","715","com/sun/corba/se/spi/ior/MakeImmutable"
"353","716","java/util/List"
"354","716","com/sun/corba/se/spi/ior/IORFactory"
"355","717","java/util/List"
"356","716","com/sun/corba/se/spi/ior/MakeImmutable"
"357","717","com/sun/corba/se/spi/ior/IORFactory"
"358","717","com/sun/corba/se/spi/ior/MakeImmutable"
"359","719","com/sun/corba/se/spi/ior/Writeable"
"360","720","com/sun/corba/se/spi/ior/Identifiable"
"361","720","com/sun/corba/se/spi/ior/WriteContents"
"362","725","com/sun/corba/se/spi/ior/Writeable"
"363","726","com/sun/corba/se/spi/ior/Writeable"
"364","727","com/sun/corba/se/spi/ior/Writeable"
"365","729","com/sun/corba/se/spi/ior/Writeable"
"366","730","com/sun/corba/se/spi/ior/Identifiable"
"367","731","com/sun/corba/se/spi/ior/TaggedComponent"
"368","732","com/sun/corba/se/spi/ior/IdentifiableFactoryFinder"
"369","733","com/sun/corba/se/spi/ior/Identifiable"
"370","734","java/util/List"
"371","733","com/sun/corba/se/spi/ior/MakeImmutable"
"372","734","com/sun/corba/se/spi/ior/Identifiable"
"373","734","com/sun/corba/se/spi/ior/WriteContents"
"374","735","com/sun/corba/se/spi/ior/TaggedProfileTemplate"
"375","738","com/sun/corba/se/spi/ior/TaggedComponent"
"376","734","com/sun/corba/se/spi/ior/MakeImmutable"
"377","740","com/sun/corba/se/spi/ior/TaggedComponent"
"378","741","com/sun/corba/se/spi/ior/Writeable"
"379","743","com/sun/corba/se/spi/ior/TaggedProfile"
"380","744","com/sun/corba/se/spi/ior/TaggedProfileTemplate"
"381","745","com/sun/corba/se/spi/ior/TaggedComponent"
"382","746","com/sun/corba/se/spi/ior/TaggedComponent"
"383","747","com/sun/corba/se/spi/ior/TaggedComponent"
"384","748","com/sun/corba/se/spi/ior/TaggedComponent"
"385","763","com/sun/corba/se/spi/monitoring/MonitoredAttribute"
"386","769","java/io/Closeable"
"387","781","com/sun/corba/se/spi/oa/ObjectAdapter"
"388","783","java/security/PrivilegedAction"
"389","784","com/sun/corba/se/pept/broker/Broker"
"390","784","com/sun/corba/se/impl/corba/TypeCodeFactory"
"391","787","java/lang/Comparable"
"392","794","java/util/Iterator"
"393","795","java/util/Map$Entry"
"394","802","com/sun/corba/se/spi/orbutil/fsm/Action"
